Enviro,MIC50,OD,Activity_norm,Strain
12.5,0.78125,0.7033310093815761,0.7462906069550348,HSC074
3.12,0.78125,0.9087071318983198,0.6901414970631422,HSC074
6.25,0.78125,0.7462298064429338,0.6585693850324591,HSC074
0.2,0.78125,1.3985815782169218,1,HSC077
0.39,0.78125,1.256337124871344,1.0071637079975437,HSC077
0.78,0.78125,1.2319592575841773,1.0217599761780227,HSC077
1.56,0.78125,1.1727443720285524,0.9016987631680088,HSC077
12.5,0.78125,0.9335516345871478,0.8322321151026919,HSC077
3.12,0.78125,1.0790142882346618,0.81987028950198,HSC077
6.25,0.78125,1.0610728215513678,0.7375070593814019,HSC077
0.2,0.78125,1.480109607012022,1,HSC078
0.39,0.78125,1.3376694149959025,1.0176127345062953,HSC078
0.78,0.78125,1.2980956483805604,1.0070370266244895,HSC078
1.56,0.78125,1.172651881769748,0.7776795286388821,HSC078
12.5,0.78125,0.9252524209260786,0.7982783611651343,HSC078
3.12,0.78125,0.9022311432315767,0.6360987504610902,HSC078
6.25,0.78125,0.9179591786812639,0.7341074808475241,HSC078
0.2,0.78125,1.531588359407851,1,HSC080
0.39,0.78125,1.4787037774167129,0.9889157964329196,HSC080
0.78,0.78125,1.2640985925050074,0.981693229004388,HSC080
1.56,0.78125,1.0171792075647712,0.946069846892577,HSC080
12.5,0.78125,0.8468564449143872,0.694901626634067,HSC080
3.12,0.78125,0.874084150493983,0.8317218266841359,HSC080
6.25,0.78125,0.9039299046870016,0.6878526759100415,HSC080
0.2,0.78125,1.4628856937837191,1,HSC081
0.39,0.78125,1.4353978336225126,1.087104446006592,HSC081
0.78,0.78125,1.296819533086044,1.078324105837579,HSC081
1.56,0.78125,1.1227803742753113,0.9303766073654717,HSC081
12.5,0.78125,0.811681581235359,0.738835125628647,HSC081
3.12,0.78125,0.9451723496425438,0.8300637852525574,HSC081
6.25,0.78125,0.9146471568668395,0.7539874349652304,HSC081
0.2,0.78125,1.5435098654423018,1,HSC082
0.39,0.78125,1.47772797277381,1.034484109848025,HSC082
0.78,0.78125,1.2635132539832454,1.0183705683536435,HSC082
1.56,0.78125,0.9837376343248673,0.8285969301564349,HSC082
12.5,0.78125,0.85372079159263,0.6019938478621268,HSC082
3.12,0.78125,0.8887111600333171,0.6200505132142172,HSC082
6.25,0.78125,0.9054328729512876,0.614031249413091,HSC082
0.2,0.78125,1.6702566424242928,1,HSC083
0.39,0.78125,1.653393586223797,1.0575040983984292,HSC083
