Strain,Drug,Species,Type,RAD50,FoG50
HSC186,FLC,C.glabrata,HSc,4.5,0.436666667
HSC187,BA,C.albicans,HSc,11.83333333,0.096666667
HSC187,FLC,C.albicans,HSc,18,0.478333333
HSC188,BA,C.glabrata,HSc,8.5,0.41
HSC188,FLC,C.glabrata,HSc,11,0.355
HSC189,BA,C.glabrata,HSc,12.5,0.295
HSC189,FLC,C.glabrata,HSc,15.83333333,0.303333333
HSC190,BA,C.albicans,HSc,11.5,0.13
HSC190,FLC,C.albicans,HSc,15.5,0.631666667
HSC191,BA,C.glabrata,HSc,7.666666667,0.448333333
HSC191,FLC,C.glabrata,HSc,10.16666667,0.336666667
HSC192,BA,C.glabrata,HSc,8.5,0.373333333
HSC192,FLC,C.glabrata,HSc,13,0.238333333
HSC193,BA,C.albicans,HSc,11.66666667,0.166666667
HSC193,FLC,C.albicans,HSc,16.83333333,0.663333333
HSC194,BA,C.albicans,HSc,11.33333333,0.123333333
HSC194,FLC,C.albicans,HSc,4.666666667,
HSC196,BA,C.parapsilosis,HSc,14.5,0.0925
HSC196,FLC,C.parapsilosis,HSc,17.25,0.1825
HSC197,BA,C.albicans,HSc,11.16666667,0.126666667
HSC197,FLC,C.albicans,HSc,17,0.59
HSC198,BA,C.parapsilosis,HSc,11,0.09
HSC198,FLC,C.parapsilosis,HSc,19,0.21
HSC199,BA,C.albicans,HSc,12.66666667,0.148333333
HSC199,FLC,C.albicans,HSc,18.66666667,0.421666667
HSC201,BA,C.albicans,HSc,12.75,0.125
HSC201,FLC,C.albicans,HSc,16.75,0.745
HSC202,BA,C.glabrata,HSc,10.83333333,0.24
HSC202,FLC,C.glabrata,HSc,10.66666667,0.233333333
HSC203,BA,C.glabrata,HSc,8.333333333,0.398333333
HSC203,FLC,C.glabrata,HSc,9,0.393333333
HSC204,BA,C.albicans,HSc,12.5,0.163333333
HSC204,FLC,C.albicans,HSc,17.83333333,0.78
HSC205,BA,C.glabrata,HSc,9,0.408333333
HSC205,FLC,C.glabrata,HSc,11.33333333,0.41
