Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC197,FLC,C.albicans,20,0.43666666666666665,17,0.59
HSC198,BA,C.parapsilosis,13,0.125,11.833333333333334,0.08333333333333333
HSC198,FLC,C.parapsilosis,21.833333333333332,0.20833333333333334,19,0.18000000000000002
HSC199,BA,C.albicans,14.833333333333334,0.19166666666666668,12.666666666666666,0.14833333333333332
HSC199,FLC,C.albicans,21,0.3283333333333333,18.666666666666668,0.42166666666666663
HSC201,BA,C.albicans,13.75,0.14250000000000002,12.75,0.125
HSC201,FLC,C.albicans,20.5,0.5275000000000001,16.75,0.745
HSC202,BA,C.glabrata,13.5,0.29166666666666663,10.833333333333334,0.24000000000000002
HSC202,FLC,C.glabrata,12.333333333333334,0.245,10.666666666666666,0.23333333333333334
HSC203,BA,C.glabrata,11.333333333333334,0.39499999999999996,8.333333333333334,0.3983333333333333
HSC203,FLC,C.glabrata,12.5,0.4066666666666667,9,0.3933333333333333
HSC204,BA,C.albicans,14.5,0.20666666666666667,12.5,0.16333333333333333
HSC204,FLC,C.albicans,23.666666666666668,0.525,17.833333333333332,0.78
HSC205,BA,C.glabrata,12.666666666666666,0.4316666666666667,9,0.4083333333333333
HSC205,FLC,C.glabrata,13.333333333333334,0.3466666666666667,11.333333333333334,0.41000000000000003
HSC206,BA,C.albicans,13.5,0.185,12,0.15000000000000002
HSC206,FLC,C.albicans,19,0.325,18,0.37
HSC207,BA,C.albicans,21,0.12,19,0.07
HSC207,FLC,C.albicans,22,0.4,18,0.51
HSC208,BA,C.glabrata,15.5,0.195,13.5,0.15000000000000002
HSC208,FLC,C.glabrata,11.5,0.18,9.5,0.07
HSC209,BA,C.glabrata,15.5,0.365,10,0.215
HSC209,FLC,C.glabrata,11,0.215,10,0.245
HSC210,BA,C.albicans,20,0.18,17,0.095
HSC210,FLC,C.albicans,25,0.145,23.5,0.14500000000000002
yAG10,BA,C.albicans,13,0.14250000000000002,11.5,0.09
yAG10,FLC,C.albicans,16.75,0.69,4.25,0.9225000000000001
yAG100,BA,C.albicans,19,0.28500000000000003,15.75,0.26
yAG100,FLC,C.albicans,24.75,0.3275,22,0.4
yAG104,BA,C.albicans,16.083333333333332,0.185,14.333333333333334,0.14500000000000002
yAG104,FLC,C.albicans,18.75,0.5008333333333334,15.666666666666666,0.5625
yAG106,BA,C.albicans,12.833333333333334,0.18333333333333335,11.416666666666666,0.15
yAG106,FLC,C.albicans,20.75,0.36333333333333334,17.25,0.39416666666666667
yAG107,BA,C.albicans,13.5,0.18,11.5,0.1275
yAG107,FLC,C.albicans,21.5,0.495,17.5,0.695
yAG108,BA,C.albicans,12.5,0.245,10.5,0.1825
yAG108,FLC,C.albicans,17.25,0.665,11,0.7725
yAG109,BA,C.albicans,15.25,0.17166666666666666,13.666666666666666,0.14333333333333334
yAG109,FLC,C.albicans,14.583333333333334,NA,7.416666666666667,NA
yAG11,BA,C.albicans,14.25,0.1875,12.75,0.15
yAG11,FLC,C.albicans,12.75,0.6950000000000001,5.5,NA
yAG110,BA,C.albicans,15.25,0.1675,13.5,0.1225
yAG110,FLC,C.albicans,25.25,0.4825,19.5,0.6025
yAG112,BA,C.albicans,17.75,0.1925,15,0.12
yAG112,FLC,C.albicans,22.5,0.4925,18.75,0.6125
yAG113,BA,C.albicans,15.5,0.17250000000000001,13.5,0.1275
yAG113,FLC,C.albicans,22.75,0.42000000000000004,19.25,0.445
yAG116,BA,C.albicans,13.25,0.1825,11.75,0.1675
yAG116,FLC,C.albicans,22,0.6325000000000001,16.5,0.845
yAG117,BA,C.albicans,17.25,0.1475,15.5,0.10250000000000001
yAG117,FLC,C.albicans,11.5,NA,10,NA
yAG118,BA,C.albicans,15.25,0.19,13.5,0.155
