Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A03_BA_0.8_t19.jpeg,331,local,0.523292,0.476708,1391744,0
A03_BA_0.8_t20.jpeg,332,local,0.506176,0.493824,1391744,0
A03_BA_0.8_t21.jpeg,333,local,0.591557,0.408443,1391744,0
A03_BA_0.8_t22.jpeg,334,local,0.478406,0.521594,1391744,0
A03_BA_0.8_t23.jpeg,335,local,0.554629,0.445371,1391744,0
A03_BA_0.8_t24.jpeg,336,local,0.506788,0.493212,1391744,0
A03_BA_1.6_t0.jpeg,337,local,0.963867,0.036133,1391744,0
A03_BA_1.6_t01.jpeg,338,local,0.9201,0.0799,1391744,0
A03_BA_1.6_t02.jpeg,339,local,0.897521,0.102479,1391744,0
A03_BA_1.6_t03.jpeg,340,local,0.898979,0.101021,1391744,0
A03_BA_1.6_t04.jpeg,341,local,0.885629,0.114371,1391744,0
A03_BA_1.6_t05.jpeg,342,local,0.914263,0.085737,1391744,0
A03_BA_1.6_t06.jpeg,343,local,0.919826,0.080174,1391744,0
A03_BA_1.6_t07.jpeg,344,local,0.917105,0.082895,1391744,0
A03_BA_1.6_t08.jpeg,345,local,0.91424,0.08576,1391744,0
A03_BA_1.6_t09.jpeg,346,local,0.917743,0.082257,1391744,0
A03_BA_1.6_t10.jpeg,347,local,0.904191,0.095809,1391744,0
A03_BA_1.6_t11.jpeg,348,local,0.899623,0.100377,1391744,0
A03_BA_1.6_t12.jpeg,349,local,0.885347,0.114653,1391744,0
A03_BA_1.6_t13.jpeg,350,local,0.901174,0.098826,1391744,0
A03_BA_1.6_t14.jpeg,351,local,0.875773,0.124227,1391744,0
A03_BA_1.6_t15.jpeg,352,local,0.869047,0.130953,1391744,0
A03_BA_1.6_t16.jpeg,353,local,0.885375,0.114625,1391744,0
A03_BA_1.6_t17.jpeg,354,local,0.864552,0.135448,1391744,0
A03_BA_1.6_t18.jpeg,355,local,0.847681,0.152319,1391744,0
A03_BA_1.6_t19.jpeg,356,local,0.853016,0.146984,1391744,0
A03_BA_1.6_t20.jpeg,357,local,0.847167,0.152833,1391744,0
A03_BA_1.6_t21.jpeg,358,local,0.868015,0.131985,1391744,0
